URL,Domain Rating (DR),Monthly Traffic,Niche/Category,DACH Region Relevance,Status
goyellow.de,78,,General,Germany,To Be Submitted
stadtbranchenbuch.com,77,,General,Germany,To Be Submitted
marktplatz-mittelstand.de,76,,B2B,Germany,To Be Submitted
city-map.com,75,,General,Germany,To Be Submitted
dastelefonbuch.de,75,,General,Germany,To Be Submitted
wlw.de,74,,B2B,Germany,To Be Submitted
onlinestreet.de,73,,General,Germany,To Be Submitted
regional.de,69,,General,Germany,To Be Submitted
oeffnungszeitenbuch.de,66,,General,Germany,To Be Submitted
hotfrog.de,65,,General,Germany,To Be Submitted
stadtbranche.de,61,,General,Germany,To Be Submitted
branchenbuchdeutschland.de,56,,General,Germany,To Be Submitted
misterwhat.de,56,,General,Germany,To Be Submitted
unternehmensverzeichnis.org,56,,General,Germany,To Be Submitted
branchenverzeichnis.org,56,,General,Germany,To Be Submitted
branchen-domain.de,54,,General,Germany,To Be Submitted
koomio.com,49,,General,Germany,To Be Submitted
auskunft.de,49,,General,Germany,To Be Submitted
bundestelefonbuch.net,47,,General,Germany,To Be Submitted
exilon.de,47,,General,Germany,To Be Submitted
firmeneintrag.de,44,,General,Germany,To Be Submitted
firmen.wko.at,91,,General,Austria,To Be Submitted
herold.at,83,,General,Austria,To Be Submitted
firmenabc.at,81,,General,Austria,To Be Submitted
firmeneintrag.creditreform.de,80,,General,Austria,To Be Submitted
firma.at,76,,General,Austria,To Be Submitted
at.kompass.com,76,,B2B,Austria,To Be Submitted
infobel.com,74,,General,Austria,To Be Submitted
firmencheck.at,68,,General,Austria,To Be Submitted
yelp.at,68,,General,Austria,To Be Submitted
wirtschaftszeit.at,65,,General,Austria,To Be Submitted
unternehmen24.info,54,,General,Austria,To Be Submitted
hausverstand.at,53,,General,Austria,To Be Submitted
firmeninfo.at,49,,General,Austria,To Be Submitted
dasschnelle.at,48,,General,Austria,To Be Submitted
kauftregional.at,46,,General,Austria,To Be Submitted
liste.nunukaller.com,44,,General,Austria,To Be Submitted
yalwa.at,44,,General,Austria,To Be Submitted
nicelocal.at,42,,General,Austria,To Be Submitted
cylex.at,40,,General,Austria,To Be Submitted
wlw.at,38,,B2B,Austria,To Be Submitted
similio.at,36,,General,Austria,To Be Submitted
susi.at,35,,General,Austria,To Be Submitted
snooop.net,30,,General,Austria,To Be Submitted
meine-region.at,29,,General,Austria,To Be Submitted
finde-offen.at,27,,General,Austria,To Be Submitted
yably.at,26,,General,Austria,To Be Submitted
allbiz.at,21,,General,Austria,To Be Submitted
heimisches.at,21,,General,Austria,To Be Submitted
yip.at,20,,General,Austria,To Be Submitted
localsearch.ch,90,,General,Switzerland,To Be Submitted
wlw.ch,74,,B2B,Switzerland,To Be Submitted
yelp.ch,68,,General,Switzerland,To Be Submitted
europages.ch,65,,General,Switzerland,To Be Submitted
branchenbuch.ch,60,,General,Switzerland,To Be Submitted
findex.ch,55,,General,Switzerland,To Be Submitted
webwiki.ch,79,,General,Switzerland,To Be Submitted
business-branchenbuch.ch,50,,General,Switzerland,To Be Submitted
zip.ch,45,,General,Switzerland,To Be Submitted
hotfrog.ch,65,,General,Switzerland,To Be Submitted
waze.com,92,,General,International,To Be Submitted
foursquare.com,91,,General,International,To Be Submitted
openstreetmap.org,89,,General,International,To Be Submitted
here.com,86,,General,International,To Be Submitted
tomtom.com,81,,General,International,To Be Submitted
all.biz,77,,General,International,To Be Submitted
apsense.com,75,,General,International,To Be Submitted
ailoq.com,68,,General,International,To Be Submitted
storeboard.com,64,,General,International,To Be Submitted
zeemaps.com,63,,General,International,To Be Submitted
yelp.de,60,,General,Germany,To Be Submitted
infobel.com,58,,General,International,To Be Submitted
tupalo.com,58,,General,International,To Be Submitted
bizpages.org,57,,General,International,To Be Submitted
trepup.com,56,,General,International,To Be Submitted
botw.org,55,,General,International,To Be Submitted
twidloo.com,55,,General,International,To Be Submitted
enrollbusiness.com,54,,General,International,To Be Submitted
yplocal.us,54,,General,International,To Be Submitted
startus.cc,53,,General,International,To Be Submitted
cylex.de,52,,General,Germany,To Be Submitted
whodoyou.com,46,,General,International,To Be Submitted
ch.kompass.com,69,,General,Switzerland,To Be Submitted
ch.enrollbusiness.com,54,,General,Switzerland,To Be Submitted
yellow.place,51,,General,Switzerland,To Be Submitted
globalcatalog.com,51,,General,Switzerland,To Be Submitted
eu-startups.com,70,,Startup,Europe,To Be Submitted
startup.ch,60,,Startup,Switzerland,To Be Submitted
startupranking.com,75,,Startup,International,To Be Submitted
seedtable.com,65,,Startup,International,To Be Submitted
bing.com/maps,93,,General,International,To Be Submitted
tripadvisor.com,93,,Niche,International,To Be Submitted
instagram.com,93,,Social,International,To Be Submitted
linkedin.com,99,,Social,International,To Be Submitted
facebook.com,94,,Social,International,To Be Submitted
apple.com/business/connect,99,,General,International,To Be Submitted
trustpilot.com,92,,General,International,To Be Submitted
glassdoor.com,90,,General,International,To Be Submitted
slideshare.net,92,,General,International,To Be Submitted
issuu.com,91,,General,International,To Be Submitted
scribd.com,93,,General,International,To Be Submitted
behance.net,92,,General,International,To Be Submitted
dribbble.com,91,,General,International,To Be Submitted
vimeo.com,95,,General,International,To Be Submitted
dailymotion.com,92,,General,International,To Be Submitted
mix.com,80,,General,International,To Be Submitted
scoop.it,85,,General,International,To Be Submitted
diigo.com,82,,General,International,To Be Submitted
instapaper.com,81,,General,International,To Be Submitted
pocket.com,88,,General,International,To Be Submitted
flipboard.com,88,,General,International,To Be Submitted
xing.com,88,,Social,DACH,To Be Submitted
kununu.com,75,,General,DACH,To Be Submitted
yalwa.de,55,,General,Germany,To Be Submitted
yalwa.ch,55,,General,Switzerland,To Be Submitted
brownbook.net,63,,General,International,To Be Submitted
cylex-lokale-suche.de,60,,General,Germany,To Be Submitted
stadtbranchenbuch.at,55,,General,Austria,To Be Submitted
stadtbranchenbuch.ch,55,,General,Switzerland,To Be Submitted
